"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","HS4","HS4 ID"
-1.1630038191,-1.1305900201,-1.2228582621,-1.2139214366,-1.0598189119,-1.0663901793,-1.0824080118,-1.0740389166,-1.0355228083,-1.129175236,-1.0876213609,-1.1333017338,-1.1281267663,-1.0554313036,-1.1134265637,-0.9788695677,-0.831943593,-0.6453409016,-0.7870960345,-0.7913761168,-0.7714804513,-0.6647944476,-0.5436566482,-0.613543644,-0.6165064507,"Frozen Vegetables","0710"
,,,,,,,,,,,,-1.0476142839,-0.9640327061,-1.0230221656,-1.0416904895,-1.0532486685,-1.0660320161,-1.1691800111,-1.0981369652,-1.0713957444,-1.0726775132,-1.1047912302,-1.0476730518,-1.0912560572,"Preserved Vegetables","0711"
-1.2658891787,-1.2276740139,-1.0665853405,-1.1599269191,-1.2864406141,-1.2186038819,-1.117943857,-1.1368289468,-1.0601794011,-1.0911867182,-1.151932382,-1.2153387727,-1.1701753121,-1.0920321337,-1.1768170025,-1.1818804784,-1.4430562985,-1.3435429485,-1.4964340503,-1.6389728884,-1.6280482114,-1.728865477,-1.5731836577,-1.1777018157,-0.9303969125,"Dried Vegetables","0712"
-1.6239612843,-1.7614243254,-1.7396944796,-1.7406056972,-1.7204854043,-1.8260584214,-1.9534615434,-1.9707210353,-1.9367885434,-1.8582818653,-1.8878353284,-2.0057239085,-1.8998747302,-1.906588159,-1.8518288514,-2.0203729584,-2.1207495594,-2.3295034639,-2.1837855786,-2.0066824584,-1.9646310038,-1.932040067,-1.9061939343,-2.0283158067,-1.9684684767,"Dried Legumes","0713"
-2.4324415722,-2.5271278435,-2.6788407674,-2.5168646877,-2.2693527176,-1.9516743562,-1.9533659401,-1.9657436371,-1.9599133942,-1.9076562394,-2.0487653543,-2.0619261046,-2.2201348369,-2.2003765247,-2.0907511274,-2.1731313189,-2.3256874623,-2.1431767105,-2.1556741414,-2.2919002918,-2.3651168387,-2.3264275366,-2.3452701283,-2.4439530708,-2.2855608679,"Cassava","0714"
-2.712953138,-2.5610905661,-2.5155615878,-2.3125078985,-2.4453175902,-2.5999666799,-2.4865670493,-2.2915254835,-2.217959096,-2.2330428448,-2.4942909383,-2.7811203777,-2.6320727203,-2.6621669369,-2.6875918344,-2.6783770734,-2.6104014716,-2.5537572164,-2.5515432917,-2.577148641,-2.5893646501,-2.5647086098,-2.5319844419,-2.4221565366,-2.6258865303,"Coconuts, Brazil Nuts, and Cashews","0801"
-1.4262671842,-1.5234160297,-1.5523774403,-1.6049651418,-1.6470514021,-1.5458821912,-1.4212895157,-1.3867679406,-1.5266426025,-1.2982469864,-1.3554517346,-1.4549636736,-1.4688553178,-1.7775603202,-1.5137295327,-1.5571674442,-1.7275472635,-1.7905977943,-1.7987401347,-1.756788779,-1.8007315265,-1.863375975,-1.7012260245,-1.7273709927,-1.7459557912,"Other Nuts","0802"
-2.0247262344,-2.0917650438,-2.0822867959,-2.2647457446,-1.935635593,-2.0443100791,-2.0788493685,-2.087409711,-1.8635869901,-1.9828852233,-1.9552535023,-1.9701481667,-2.100122142,-2.0654737817,-2.0785764458,-2.1512523572,-1.9952291328,-1.9273024263,-1.931161166,-1.9735128395,-1.7975281562,-1.7883298557,-1.8303311294,-1.814030944,-1.7288807695,"Bananas","0803"
-2.1463623415,-2.152480836,-2.035830504,-1.9250854709,-1.9181684411,-1.8485673537,-1.8628244773,-1.8136253807,-1.7423005545,-1.7186584902,-1.8439915067,-1.9572850033,-1.9471495893,-1.8475837124,-1.8414480115,-1.8553315433,-1.7602720502,-1.7541126742,-1.6528398698,-1.8294098217,-1.9164853761,-1.9534889944,-1.8316879859,-1.8535553958,-1.8377086395,"Tropical Fruits","0804"
-1.2338652983,-1.342048297,-1.2249413881,-1.4266830707,-1.3019786152,-1.2212662426,-1.265043738,-1.2666824716,-1.242716644,-1.1460116396,-1.1047467182,-1.1821595842,-1.0574492814,-1.0408119126,-1.1982775127,-1.1517824551,-1.1638143241,-1.1021253109,-1.2408192859,-1.2886829,-1.2989842706,-1.2832838776,-1.4268088299,-1.1668015031,-1.2002594767,"Citrus","0805"
